prot1	prot2	RBSH	RBH	PANTHER_prot1	PANTHER_prot2
O96019	Q9N4N4	Yes	No	PTHR11937	PTHR11937
Q04323	Q9TXH9	Yes	No	PTHR46340	PTHR46340
P08621	Q09584	Yes	No	PTHR13952	PTHR13952
Q13409	O45087	Yes	No	PTHR12442	PTHR12442
P46059	Q17758	Yes	No	PTHR11654	PTHR11654
O15198	Q02330	Yes	No	PTHR13703	PTHR13703
Q96NU7	Q22419	Yes	Yes	PTHR42752	PTHR42752
Q9H6F2	Q9NA75	Yes	No	PTHR12454	PTHR12454
Q8N6T7	Q95Q89	Yes	Yes	PTHR47651	PTHR47651
Q9BZV1	Q8WTJ4	Yes	No	PTHR23153	PTHR23153
Q8IWV8	P91133	Yes	No	PTHR21497	PTHR21497
Q13685	E0R7L2	Yes	Yes	PTHR19857	PTHR19857
Q8TC07	A0A164D380	Yes	Yes	PTHR22957	PTHR22957
Q96EF6	Q17962	Yes	No	PTHR12125	PTHR12125
P82673	Q9NEI6	Yes	No	PTHR13490	PTHR13490
O60921	G5EFI9	Yes	Yes	PTHR12900	PTHR12900
Q14C86	Q9GYH7	Yes	No	PTHR23101	PTHR23101
Q8N6M0	F5GU86	Yes	Yes	PTHR12419	PTHR12419
P57740	Q19131	Yes	No	PTHR13003	PTHR13003
Q9UGP8	Q9U1V9	Yes	Yes	PTHR24075	PTHR24075
O43529	O45177	Yes	No	PTHR12137	PTHR22900
Q9UG63	G5EFG4	Yes	Yes	PTHR19211	PTHR19211
Q8NE00	Q17598	Yes	Yes	PTHR16189	PTHR16189
Q6IA86	Q9NEW7	Yes	No	PTHR44111	PTHR44111
O43861	A0A7I9BBC6	Yes	No	PTHR24092	PTHR24092
Q9UMS4	Q10051	Yes	Yes	PTHR43995	PTHR43995
Q5T5Y3	U4PAZ9	Yes	No	PTHR34491	PTHR21595
O75030	H2KZZ2	Yes	No	PTHR45776	PTHR45776
P61221	Q9U2K8	Yes	Yes	PTHR19248	PTHR19248
O14579	O62246	Yes	Yes	PTHR10805	PTHR10805
P17213	Q23365	Yes	Yes	PTHR10504	PTHR10504
O95486	Q23368	Yes	No	PTHR13803	PTHR13803
Q6PHW0	P34273	Yes	Yes	PTHR23026	PTHR23026
P05771	P90980	Yes	No	PTHR24356	PTHR24356
Q9H1X3	Q17433	Yes	Yes	PTHR44176	PTHR44176
Q9UBM7	G5ED82	Yes	No	PTHR21257	PTHR21257
P27708	Q18990	Yes	Yes	PTHR11405	PTHR11405
P12081	P34183	Yes	Yes	PTHR11476	PTHR11476
O43614	Q9XUK8	Yes	No	PTHR24241	PTHR24230
Q68DH5	Q18695	Yes	Yes	PTHR21355	PTHR21355
P36543	Q95X44	Yes	Yes	PTHR45715	PTHR45715
Q8IXB1	Q9XWE1	Yes	Yes	PTHR44340	PTHR44340
O43678	Q9XWG2	Yes	Yes	PTHR12878	PTHR12878
O94812	Q400L7	Yes	Yes	PTHR45999	PTHR45999
Q00341	Q17832	Yes	Yes	PTHR10627	PTHR10627
Q96AT9	Q95ZW2	Yes	Yes	PTHR11749	PTHR11749
Q07075	Q22317	Yes	No	PTHR11533	PTHR11533
Q07973	Q09660	Yes	Yes	PTHR24291	PTHR24291
Q6WCQ1	G5EE23	Yes	No	PTHR17271	PTHR17271
P61586	Q22038	Yes	Yes	PTHR24072	PTHR24072
Q15485	Q18914	Yes	No	PTHR19143	PTHR19143
P61077	P35129	Yes	No	PTHR24068	PTHR24068
Q7L014	Q965K2	Yes	Yes	PTHR24031	PTHR24031
Q9Y3D7	O62250	Yes	Yes	PTHR12388	PTHR12388
Q9Y6K0	G5EC25	Yes	No	PTHR10414	PTHR10414
P49588	O01541	Yes	Yes	PTHR11777	PTHR11777
Q9Y672	Q09226	Yes	Yes	PTHR12413	PTHR12413
Q9NVU7	Q9NEU2	Yes	Yes	PTHR12730	PTHR12730
Q96DA2	Q18969	Yes	Yes	PTHR47979	PTHR47979
Q13454	P34669	Yes	No	PTHR12692	PTHR12692
Q8TDQ7	Q9XVJ2	Yes	No	PTHR11280	PTHR11280
Q9Y312	Q09305	Yes	Yes	PTHR12689	PTHR12689
Q14240	P27639	Yes	Yes	PTHR24031	PTHR24031
Q16798	Q9U296	Yes	Yes	PTHR23406	PTHR23406
Q9NUK0	Q94250	Yes	No	PTHR12675	PTHR12675
P49458	P34642	Yes	Yes	PTHR12834	PTHR12834
Q15477	Q19103	Yes	Yes	PTHR12131	PTHR12131
Q495C1	Q8MYP1	Yes	No	PTHR22663	PTHR22663
Q86VU5	Q965W4	Yes	No	PTHR10509	PTHR10509
Q99459	G5EFC4	Yes	Yes	PTHR45885	PTHR45885
P59998	P58798	Yes	Yes	PTHR22629	PTHR22629
Q99814	G5EGD2	Yes	No	PTHR23043	PTHR23043
Q9ULI1	O16302	Yes	No	PTHR19871	PTHR19871
Q8N6M3	Q5CZ37	Yes	No	PTHR23129	PTHR23129
Q14409	Q21944	Yes	Yes	PTHR10196	PTHR10196
P41240	G5ECJ6	Yes	Yes	PTHR24418	PTHR24418
Q6PGP7	Q9BKR2	Yes	No	PTHR15704	PTHR15704
Q6IN84	Q9XWY8	Yes	No	PTHR46103	PTHR46103
O95433	Q93168	Yes	Yes	PTHR13009	PTHR13009
Q8WVD5	Q20737	Yes	Yes	PTHR12109	PTHR12109
Q9Y2Y1	Q9N4B7	Yes	Yes	PTHR11239	PTHR11239
Q6IWH7	G5EBW3	Yes	Yes	PTHR12308	PTHR12308
P53350	Q9N2L7	Yes	No	PTHR24345	PTHR24345
Q96N28	O62173	Yes	No	PTHR11158	PTHR11158
Q9BRP4	Q95XR3	Yes	Yes	PTHR19879	PTHR44156
Q96SZ5	Q8IAA1	Yes	No	PTHR22966	PTHR22966
Q8NEL9	G5EEM9	Yes	No	PTHR23509	PTHR23509
O14744	P46580	Yes	Yes	PTHR10738	PTHR10738
Q8WVQ1	Q19202	Yes	No	PTHR13023	PTHR13023
Q04837	P34496	Yes	No	PTHR10302	PTHR10302
Q00765	Q9N4G8	Yes	Yes	PTHR12300	PTHR12300
Q12874	Q22469	Yes	Yes	PTHR12786	PTHR12786
Q5EBL4	G5EFB9	Yes	No	PTHR21502	PTHR21502
Q92523	Q9U2F2	Yes	No	PTHR22589	PTHR22589
Q9NZJ7	H2KYJ5	Yes	No	PTHR10780	PTHR10780
Q96JG6	Q18602	Yes	Yes	PTHR13258	PTHR13258
P56557	Q9N2X7	Yes	Yes	PTHR13180	PTHR13180
P24390	Q09473	Yes	No	PTHR10585	PTHR10585
P61923	O17901	Yes	Yes	PTHR11043	PTHR11043
