prot1	prot2	RBSH	RBH	PANTHER_prot1	PANTHER_prot2
Q8IXJ6	P53686	Yes	No	PTHR47651	PTHR47651
Q8WZ64	P32873	Yes	No	PTHR45899	PTHR23176
Q13351	Q12145	Yes	No	PTHR23235	
Q15907	P38555	Yes	Yes	PTHR47979	PTHR47979
O00244	P38636	Yes	Yes	PTHR46365	PTHR46365
P49590	P07263	Yes	No	PTHR11476	PTHR11476
Q8NFP7	Q99321	Yes	No	PTHR12629	PTHR12629
O60925	P46988	Yes	Yes	PTHR20903	PTHR20903
Q96BN2	Q12060	Yes	No	PTHR21277	PTHR21277
Q9UBJ2	P41909	Yes	Yes	PTHR11384	PTHR11384
A7E2Y1	P08964	Yes	No	PTHR45615	PTHR45615
P17844	P24783	Yes	Yes	PTHR47958	PTHR47958
Q5VVQ6	P43558	Yes	No	PTHR13312	PTHR13312
P05186	P11491	Yes	No	PTHR11596	PTHR11596
P83731	P04449	Yes	No	PTHR10792	PTHR10792
Q9H8P0	P40526	Yes	Yes	PTHR14624	PTHR14624
Q92973	P38217	Yes	Yes	PTHR10527	PTHR10527
P30613	P52489	Yes	Yes	PTHR11817	PTHR11817
O75153	Q03690	Yes	Yes	PTHR12601	PTHR12601
Q6STE5	P25632	Yes	No	PTHR13844	PTHR13844
Q9BTE0	P40586	Yes	No	PTHR13256	PTHR43441
O75027	P40416	Yes	Yes	PTHR24221	PTHR24221
P00403	P00410	Yes	Yes	PTHR22888	PTHR22888
Q92993	Q08649	Yes	Yes	PTHR10615	PTHR10615
P62166	Q06389	Yes	Yes	PTHR23055	PTHR23055
P23284	P35176	Yes	Yes	PTHR11071	PTHR11071
O15213	P40055	Yes	Yes	PTHR14085	PTHR14085
Q9Y263	P36037	Yes	Yes	PTHR19849	PTHR19849
Q96E52	P36163	Yes	No	PTHR22726	PTHR22726
Q7Z4Q2	Q07395	Yes	No	PTHR13347	PTHR13347
Q8TED0	Q04305	Yes	Yes	PTHR19924	PTHR19924
Q92698	P32863	Yes	No	PTHR45629	PTHR45629
P46199	P25038	Yes	Yes	PTHR43381	PTHR43381
Q5TDH0	P40087	Yes	No	PTHR12917	PTHR12917
Q92600	P53829	Yes	No	PTHR12262	PTHR12262
Q86V88	P40081	Yes	Yes	PTHR17901	PTHR17901
Q9NYY3	P32562	Yes	Yes	PTHR24345	PTHR24345
Q9BTM9	P40554	Yes	Yes	PTHR14986	PTHR14986
P48730	P29295	Yes	No	PTHR11909	PTHR11909
O15527	P53397	Yes	Yes	PTHR10242	PTHR10242
Q96QK1	P34110	Yes	No	PTHR11099	PTHR11099
Q8TBB5	Q08979	Yes	Yes	PTHR46063	PTHR46063
Q7KZN9	P40086	Yes	Yes	PTHR23289	PTHR23289
P62987	P0CH08	Yes	Yes	PTHR10666	PTHR10666
Q7L1V2	P53129	Yes	No	PTHR13027	PTHR13027
O15457	P40965	Yes	Yes	PTHR11361	PTHR11361
Q13867	Q01532	Yes	Yes	PTHR10363	PTHR10363
Q92621	P47054	Yes	No	PTHR31344	PTHR31344
Q8NEB5	Q05521	Yes	No	PTHR10165	PTHR10165
Q9H3G5	P38109	Yes	No	PTHR11802	PTHR11802
P12955	P43590	Yes	Yes	PTHR43226	PTHR43226
Q5I7T1	P50076	Yes	Yes	PTHR12989	PTHR12989
Q14667	Q06116	Yes	No	PTHR15678	PTHR15678
Q9UNZ2	P34223	Yes	No	PTHR23333	PTHR23333
O14737	Q04773	Yes	Yes	PTHR10840	PTHR10840
Q9H270	P12868	Yes	Yes	PTHR23323	PTHR23323
Q13596	Q92331	Yes	No	PTHR10555	PTHR10555
O60841	P39730	Yes	No	PTHR43381	PTHR43381
P22570	P48360	Yes	Yes	PTHR11938	PTHR11938
Q08752	P53691	Yes	Yes	PTHR11071	PTHR11071
P63165	Q12306	Yes	Yes	PTHR10562	PTHR10562
P16455	P26188	Yes	No	PTHR46460	PTHR10815
O75663	Q12199	Yes	No	PTHR21021	PTHR21021
Q6PML9	Q08970	Yes	No	PTHR13414	PTHR43840
Q9UGP8	P14906	Yes	No	PTHR24075	PTHR24075
Q9Y3C7	P38633	Yes	No	PTHR13186	PTHR13186
O00233	P40555	Yes	Yes	PTHR12651	PTHR12651
Q9UBD6	P41948	Yes	No	PTHR11730	PTHR43029
Q92990	P38315	Yes	No	PTHR15430	PTHR28020
Q6P587	P53889	Yes	Yes	PTHR11820	PTHR11820
Q8N5I2	P53179	Yes	No	PTHR11188	PTHR11188
Q96C45	P27636	Yes	No	PTHR46562	PTHR24361
Q96SB8	Q12749	Yes	Yes	PTHR19306	PTHR19306
Q8N0S6	P38265	Yes	No	PTHR31740	
Q99471	Q04493	Yes	Yes	PTHR12674	PTHR12674
Q9UIJ7	P26364	Yes	No	PTHR23359	PTHR23359
Q9Y620	P38086	Yes	Yes	PTHR45629	PTHR45629
Q5H8A4	P40367	Yes	No	PTHR23072	PTHR23072
Q9Y2L1	Q08162	Yes	Yes	PTHR23355	PTHR23355
Q9Y2R4	P45818	Yes	Yes	PTHR24031	PTHR24031
Q6P3X3	P42842	Yes	Yes	PTHR16193	PTHR16193
P62081	P48164	Yes	No	PTHR11278	PTHR11278
P35244	P26755	Yes	No	PTHR15114	
Q5H9L4	Q05021	Yes	No	PTHR12228	PTHR12228
P51668	P15732	Yes	No	PTHR24068	PTHR24068
O00429	P54861	Yes	Yes	PTHR11566	PTHR11566
Q9H0S4	P38712	Yes	Yes	PTHR24031	PTHR24031
Q9Y5R4	P53944	Yes	No	PTHR18895	PTHR18895
P63172	P40045	Yes	No	PTHR21255	
Q15526	P53266	Yes	No	PTHR23427	PTHR23427
Q96S44	P53323	Yes	Yes	PTHR12209	PTHR12209
Q9GZS1	Q01080	Yes	Yes	PTHR14440	PTHR14440
Q9H9Y2	P38805	Yes	Yes	PTHR22734	PTHR22734
Q92968	P80667	Yes	Yes	PTHR19332	PTHR19332
Q9UBZ4	P38207	Yes	Yes	PTHR22748	PTHR22748
P61604	P38910	Yes	Yes	PTHR10772	PTHR10772
Q05932	Q08645	Yes	No	PTHR11136	PTHR11136
P0DN79	P32582	Yes	No	PTHR10314	PTHR10314
Q9NV06	P33750	Yes	Yes	PTHR22851	PTHR22851
Q16513	P24583	Yes	No	PTHR24356	PTHR24356
Q8IZP6	P53769	Yes	No	PTHR12930	PTHR12930
O14929	Q12341	Yes	Yes	PTHR12046	PTHR12046
Q16850	P10614	Yes	Yes	PTHR24286	PTHR24286
O00487	P43588	Yes	Yes	PTHR10410	PTHR10410
P59998	P33204	Yes	Yes	PTHR22629	PTHR22629
Q9NW13	P37838	Yes	No	PTHR48039	PTHR48039
O60906	P40015	Yes	No	PTHR12393	PTHR12393
P46782	P26783	Yes	Yes	PTHR11205	PTHR11205
Q12834	P26309	Yes	No	PTHR19918	PTHR19918
P62273	P41057	Yes	Yes	PTHR12010	PTHR12010
P62312	Q06406	Yes	Yes	PTHR11021	PTHR11021
P49642	P10363	Yes	Yes	PTHR10536	PTHR10536
Q9NVN8	P40010	Yes	No	PTHR11089	PTHR11089
P53675	P22137	Yes	No	PTHR10292	PTHR10292
Q06203	P04046	Yes	Yes	PTHR11907	PTHR11907
Q8TAT6	P33755	Yes	Yes	PTHR12710	PTHR12710
P51553	P28834	Yes	Yes	PTHR11835	PTHR11835
O43143	P53131	Yes	Yes	PTHR18934	PTHR18934
Q15393	Q04693	Yes	Yes	PTHR10644	PTHR10644
P49354	P29703	Yes	No	PTHR11129	PTHR11129
Q9H8Y5	Q04311	Yes	No	PTHR16036	PTHR16036
Q14197	Q12322	Yes	No	PTHR11075	PTHR11075
P62333	P53549	Yes	Yes	PTHR23073	PTHR23073
P36776	P36775	Yes	Yes	PTHR43718	PTHR43718
Q5SR56	P46996	Yes	No	PTHR23504	PTHR23507
Q13564	Q12059	Yes	Yes	PTHR10953	PTHR10953
Q96JB2	P40094	Yes	No	PTHR13302	PTHR13302
P24666	P40347	Yes	Yes	PTHR11717	PTHR11717
P13716	P05373	Yes	Yes	PTHR11458	PTHR11458
Q9ULQ0	P53917	Yes	No	PTHR13239	PTHR13239
Q9NVU7	P53313	Yes	Yes	PTHR12730	PTHR12730
Q14914	Q03102	Yes	Yes	PTHR43205	PTHR43205
P35250	P40339	Yes	Yes	PTHR11669	PTHR11669
Q07326	Q06636	Yes	No	PTHR43157	PTHR43157
Q86UA1	P39682	Yes	No	PTHR17204	PTHR17204
Q9UJX6	Q12440	Yes	No	PTHR45957	PTHR45957
O60762	P14020	Yes	Yes	PTHR43398	PTHR43398
P06737	P06738	Yes	Yes	PTHR11468	PTHR11468
Q99720	P32352	Yes	No	PTHR10868	PTHR10868
O15381	Q07844	Yes	No	PTHR23077	PTHR23077
Q14691	Q12488	Yes	Yes	PTHR12914	PTHR12914
Q8NBN7	P53878	Yes	No	PTHR43157	PTHR24320
Q9Y3B8	P54964	Yes	No	PTHR11046	PTHR11046
P50990	P47079	Yes	Yes	PTHR11353	PTHR11353
O75356	P32621	Yes	No	PTHR11782	PTHR11782
Q10570	Q06632	Yes	Yes	PTHR10644	PTHR10644
P0DI81	P38334	Yes	Yes	PTHR12403	PTHR12403
O15067	P38972	Yes	Yes	PTHR10099	PTHR10099
Q9Y5B9	P32558	Yes	Yes	PTHR13980	PTHR13980
Q9HD20	P39986	Yes	Yes	PTHR45630	PTHR45630
P08243	P49090	Yes	Yes	PTHR11772	PTHR11772
Q9Y5U8	P53157	Yes	No	PTHR14154	PTHR14154
P13797	P32599	Yes	Yes	PTHR19961	PTHR19961
Q9NQ55	Q12153	Yes	No	PTHR12661	PTHR12661
Q9Y3E5	P34222	Yes	No	PTHR12649	PTHR12649
Q9NW08	P22276	Yes	Yes	PTHR20856	PTHR20856
Q9NTJ4	P22855	Yes	Yes	PTHR46017	PTHR46017
Q9BRQ8	P52923	Yes	No	PTHR43735	PTHR43735
P25440	P35817	Yes	No	PTHR45926	PTHR22880
Q53FA7	P38230	Yes	Yes	PTHR48106	PTHR48106
Q9BYD6	Q04599	Yes	No	PTHR36427	PTHR36427
Q9BSJ2	P38863	Yes	No	PTHR19302	PTHR19302
O60645	P32844	Yes	No	PTHR21292	PTHR21292
Q12996	P25298	Yes	No	PTHR19980	PTHR19980
P07108	P31787	Yes	Yes	PTHR23310	PTHR23310
P21912	P21801	Yes	Yes	PTHR11921	PTHR11921
Q9BTV6	P38332	Yes	No	PTHR46042	PTHR46042
Q53H54	Q04235	Yes	No	PTHR23245	PTHR23245
Q14527	P32849	Yes	No	PTHR45626	PTHR45626
P49721	P22141	Yes	Yes	PTHR11599	PTHR11599
Q13107	P39538	Yes	No	PTHR21646	PTHR21646
