prot1	prot2	RBSH	RBH	PANTHER_prot1	PANTHER_prot2
Q96SZ6	Q9VGZ1	Yes	Yes	PTHR43020	PTHR43020
P99999	P84029	Yes	Yes	PTHR11961	PTHR11961
Q02750	Q24324	Yes	Yes	PTHR48013	PTHR48013
Q8NFG4	Q9VS33	Yes	Yes	PTHR31441	PTHR31441
Q9H7X0	Q95SX8	Yes	Yes	PTHR14744	PTHR14744
Q8IXH7	Q24134	Yes	Yes	PTHR12144	PTHR12144
Q9C0E8	Q7K2N0	Yes	No	PTHR22166	PTHR22166
P78381	O76865	Yes	Yes	PTHR10231	PTHR10231
O95568	Q9VQK8	Yes	No	PTHR14614	PTHR14614
P61599	M9PI14	Yes	Yes	PTHR45910	PTHR45910
Q9Y2M5	Q9VUU5	Yes	Yes	PTHR24412	PTHR24412
Q8N3I7	Q9I7P3	Yes	Yes	PTHR21351	PTHR21351
Q8NFJ9	Q9VS19	Yes	Yes	PTHR20870	PTHR20870
P36537	Q9VGT0	Yes	No	PTHR48043	PTHR48043
Q14566	Q9V461	Yes	Yes	PTHR11630	PTHR11630
Q9Y3C6	Q9W0Q2	Yes	Yes	PTHR45625	PTHR45625
Q13454	Q8SY53	Yes	No	PTHR12692	PTHR12692
Q9UHA4	Q9VJD2	Yes	Yes	PTHR13378	PTHR13378
Q5VYK3	Q9V677	Yes	Yes	PTHR23346	PTHR23346
P30040	O44342	Yes	Yes	PTHR12211	PTHR12211
P63208	O77430	Yes	Yes	PTHR11165	PTHR11165
Q9P0P8	Q9VAX9	Yes	No	PTHR13633	PTHR13633
O95486	A1Z813	Yes	No	PTHR13803	PTHR13803
P30536	Q9VPR1	Yes	Yes	PTHR10057	PTHR10057
P40855	Q8IP97	Yes	Yes	PTHR12774	PTHR12774
O60841	Q9VZP5	Yes	No	PTHR43381	PTHR43381
O95847	Q9VX14	Yes	Yes	PTHR45618	PTHR45618
P51798	Q7JZ25	Yes	Yes	PTHR11689	PTHR11689
Q68E01	Q7PLS8	Yes	Yes	PTHR13587	PTHR13587
Q8TCT6	Q86P97	Yes	Yes	PTHR12174	PTHR12174
Q15648	Q9VP05	Yes	No	PTHR12881	PTHR12881
O75717	Q494K2	Yes	No	PTHR19932	PTHR19932
Q96GW9	Q9VFL5	Yes	Yes	PTHR43326	PTHR43326
P36405	Q9VD64	Yes	Yes	PTHR45697	PTHR45697
Q9Y2E8	Q9VPJ1	Yes	Yes	PTHR10110	PTHR10110
Q9BRA2	Q9VMQ9	Yes	Yes	PTHR12452	PTHR12452
Q70EL1	Q1W9P9	Yes	No	PTHR22975	PTHR22975
Q08945	Q05344	Yes	Yes	PTHR45849	PTHR45849
Q92625	Q9VCM6	Yes	No	PTHR24174	PTHR24174
Q9NQ55	Q9VDE5	Yes	No	PTHR12661	PTHR12661
Q9UK17	P17971	Yes	No	PTHR11537	PTHR11537
P17812	Q9VUL1	Yes	Yes	PTHR11550	PTHR11550
Q86TP1	O18399	Yes	Yes	PTHR12112	PTHR12112
Q9H7L9	Q9VWG2	Yes	Yes	PTHR21964	PTHR21964
Q9BZE9	Q6NL44	Yes	No	PTHR46467	PTHR46467
Q99447	Q9VK25	Yes	Yes	PTHR45780	PTHR45780
Q9Y666	A0A0B4LGD3	Yes	No	PTHR11827	PTHR11827
Q9Y3A4	Q9VMJ1	Yes	Yes	PTHR13191	PTHR13191
Q08211	P24785	Yes	Yes	PTHR18934	PTHR18934
P32929	Q7JXZ2	Yes	Yes	PTHR11808	PTHR11808
Q9UM13	Q9V831	Yes	Yes	PTHR12936	PTHR12936
O60239	Q9V785	Yes	No	PTHR19423	PTHR19423
Q07890	P26675	Yes	No	PTHR23113	PTHR23113
Q5VTY9	Q9VZU2	Yes	No	PTHR13285	PTHR13285
Q9GZN8	Q9VSK4	Yes	Yes	PTHR13287	PTHR13287
A0A1W2PRG0	Q7K0B6	Yes	No	PTHR43917	PTHR43917
P54098	Q27607	Yes	Yes	PTHR10267	PTHR10267
Q8N442	Q9VRH6	Yes	Yes	PTHR43512	PTHR43512
Q15126	Q9VIT2	Yes	Yes	PTHR13101	PTHR13101
Q7L1T6	A1ZBK6	Yes	Yes	PTHR46237	PTHR46237
O15116	Q9W2K2	Yes	Yes	PTHR15588	PTHR15588
O60763	Q9W3N6	Yes	Yes	PTHR10013	PTHR10013
P51788	Q9VGH7	Yes	No	PTHR45720	PTHR45720
Q96DP5	Q9V9Z0	Yes	Yes	PTHR11138	PTHR11138
Q9BWM7	Q9VN13	Yes	No	PTHR11153	PTHR11153
Q14693	Q8SXP0	Yes	No	PTHR12181	PTHR12181
Q7L592	Q9VGR2	Yes	Yes	PTHR12049	PTHR12049
Q2KHT3	Q9VEV4	Yes	Yes	PTHR21481	PTHR21481
P49916	Q9VG84	Yes	No	PTHR45674	PTHR45674
Q6P1A2	Q9VVX5	Yes	Yes	PTHR13906	PTHR13906
Q8N4B1	Q9VMI6	Yes	No	PTHR22902	PTHR22902
Q92508	M9MSG8	Yes	Yes	PTHR13167	PTHR13167
Q9H9T3	Q9VQZ6	Yes	Yes	PTHR11135	PTHR11135
O95718	Q8WS79	Yes	Yes	PTHR48092	PTHR48092
Q9Y6K0	A0A0B4K7Y4	Yes	Yes	PTHR10414	PTHR10414
Q9NR97	P08953	Yes	No	PTHR47410	PTHR24365
O14926	Q24524	Yes	No	PTHR10551	PTHR10551
Q9HCE5	Q9VLP7	Yes	Yes	PTHR13107	PTHR13107
Q9NWS8	Q9VXQ8	Yes	No	PTHR16255	PTHR16255
Q6DHV7	Q9VHH7	Yes	Yes	PTHR11409	PTHR11409
Q9GZU7	M9PFN0	Yes	No	PTHR12210	PTHR12210
Q08345	Q59DZ7	Yes	No	PTHR24416	PTHR24416
Q9NS00	Q7K237	Yes	Yes	PTHR23033	PTHR23033
Q6P3W7	Q9VAR0	Yes	No	PTHR12984	PTHR12984
O60826	Q9VVB4	Yes	No	PTHR15668	PTHR15668
Q9Y512	Q9V784	Yes	Yes	PTHR12815	PTHR12815
Q86TM6	Q95SP2	Yes	Yes	PTHR22763	PTHR22763
Q96E22	Q9VPX8	Yes	No	PTHR21528	PTHR21528
O75936	Q9VY24	Yes	Yes	PTHR10696	PTHR10696
Q9NW08	P25167	Yes	Yes	PTHR20856	PTHR20856
O95239	Q9XZ29	Yes	Yes	PTHR47969	PTHR47969
Q9UI10	Q9W1Q8	Yes	No	PTHR10233	PTHR10233
P07686	Q9W3C4	Yes	Yes	PTHR22600	PTHR22600
Q12756	A1ZAJ2	Yes	Yes	PTHR24115	PTHR24115
Q8IXS8	Q7K1C5	Yes	No	PTHR31220	PTHR31220
O60551	O61613	Yes	Yes	PTHR11377	PTHR11377
Q2M3R5	Q9VGN6	Yes	Yes	PTHR22911	PTHR22911
H3BQJ8	Q7K2X4	Yes	No	PTHR32217	
P62081	Q9VA91	Yes	Yes	PTHR11278	PTHR11278
Q08J23	Q9W4M9	Yes	Yes	PTHR22808	PTHR22808
P63010	Q24253	Yes	Yes	PTHR11134	PTHR11134
P38117	Q0KHZ6	Yes	Yes	PTHR21294	PTHR21294
Q8IUR0	Q7K2Q8	Yes	Yes	PTHR20902	PTHR20902
Q8NCW6	Q8MVS5	Yes	Yes	PTHR11675	PTHR11675
Q9Y6B6	Q9VD29	Yes	Yes	PTHR45684	PTHR45684
Q96E17	P25228	Yes	Yes	PTHR47980	PTHR47980
Q9HD34	O46098	Yes	Yes	PTHR13166	PTHR13166
P0C0S5	P08985	Yes	No	PTHR23430	PTHR23430
Q9NZ09	Q9VHX1	Yes	No	PTHR15960	PTHR15960
P50502	Q86DS1	Yes	Yes	PTHR45883	PTHR45883
Q9NU19	Q95RC5	Yes	Yes	PTHR22957	PTHR22957
Q96KA5	Q9VYG3	Yes	Yes	PTHR21347	PTHR21347
O43747	Q7KVR8	Yes	Yes	PTHR22780	PTHR22780
Q9UNQ2	Q9VAQ5	Yes	Yes	PTHR11727	PTHR11727
O00267	Q9V460	Yes	Yes	PTHR11125	PTHR11125
P55735	Q9V3J4	Yes	Yes	PTHR11024	PTHR11024
P25398	P80455	Yes	Yes	PTHR11843	PTHR11843
P49748	A1ZBJ2	Yes	Yes	PTHR43884	PTHR43884
Q9Y2I7	O96838	Yes	No	PTHR46715	PTHR45748
P57081	Q9W415	Yes	Yes	PTHR16288	PTHR16288
Q96S21	Q8IR80	Yes	Yes	PTHR47980	PTHR47980
O43272	Q04499	Yes	Yes	PTHR13914	PTHR13914
O15160	Q9VMX3	Yes	Yes	PTHR11800	PTHR11800
Q9NX14	Q9V3L7	Yes	No	PTHR13327	PTHR13327
Q9NX18	A1Z897	Yes	No	PTHR12469	PTHR12469
Q9BUX1	Q9VCI9	Yes	No	PTHR12192	PTHR12192
Q53HC9	Q9VTY5	Yes	Yes	PTHR14205	PTHR14205
Q9NQG5	Q9W039	Yes	Yes	PTHR12460	PTHR12460
Q7Z2H8	Q9VLM3	Yes	Yes	PTHR22950	PTHR22950
P10155	Q9W4R7	Yes	No	PTHR14202	PTHR14202
Q92845	Q9VZ07	Yes	Yes	PTHR15605	PTHR15605
O43292	Q9W464	Yes	Yes	PTHR13304	PTHR13304
Q15545	Q9VHY5	Yes	No	PTHR12228	PTHR12228
P16473	Q9VEG4	Yes	No	PTHR24372	PTHR24372
O15530	Q9W0V1	Yes	No	PTHR24356	PTHR24356
Q9P219	Q9VZT7	Yes	No	PTHR18947	PTHR18947
Q9Y689	Q9VSG8	Yes	No	PTHR11711	PTHR11711
Q9GZP9	Q9VEU2	Yes	Yes	PTHR11009	PTHR11009
A8MXV4	Q9VIV6	Yes	Yes	PTHR12318	PTHR12318
O15439	Q8MT77	Yes	No	PTHR24223	PTHR24223
