	prot1	prot2	RBSH	RBH	PANTHER_prot1	PANTHER_prot2
0	Q9NZ01	O94511	Yes	Yes	PTHR10556	PTHR10556
1	Q5T6V5	Q9HDZ9	Yes	Yes	PTHR21314	PTHR21314
2	O95619	Q10319	Yes	Yes	PTHR23195	PTHR23195
3	Q7RTX9	O59726	Yes	No	PTHR11360	PTHR23501
4	O00541	O60164	Yes	Yes	PTHR12221	PTHR12221
5	Q9Y5P6	O74484	Yes	Yes	PTHR22572	PTHR22572
6	O75925	O94451	Yes	No	PTHR10782	PTHR10782
7	Q5VUY0	Q9US38	Yes	No	PTHR23024	PTHR23024
8	A6NFC5	O13729	Yes	No	PTHR20516	PTHR28019
9	P61077	P46595	Yes	Yes	PTHR24068	PTHR24068
10	Q92616	Q10105	Yes	Yes	PTHR23346	PTHR23346
11	Q8TBM8	O13633	Yes	No	PTHR43908	PTHR43908
12	Q13616	O13790	Yes	Yes	PTHR11932	PTHR11932
13	O14841	Q10094	Yes	Yes	PTHR11365	PTHR11365
14	O14841	Q10093	Yes	Yes	PTHR11365	PTHR11365
15	O14981	O43065	Yes	Yes	PTHR36498	PTHR36498
16	P41567	P79060	Yes	Yes	PTHR10388	PTHR10388
17	Q01432	P50998	Yes	No	PTHR11359	PTHR11359
18	Q3KR37	O42976	Yes	No	PTHR23319	PTHR23319
19	P07900	P41887	Yes	Yes	PTHR11528	PTHR11528
20	Q9H270	Q9P6N4	Yes	Yes	PTHR23323	PTHR23323
21	P62333	O74445	Yes	Yes	PTHR23073	PTHR23073
22	Q9Y2Z2	O13670	Yes	Yes	PTHR11806	PTHR11806
23	Q9UBB9	Q9UTK6	Yes	Yes	PTHR23329	PTHR23329
24	Q9Y3B8	O94626	Yes	No	PTHR11046	PTHR11046
25	P51606	O14131	Yes	No	PTHR15108	PTHR47791
26	Q9UQ80	Q09184	Yes	Yes	PTHR10804	PTHR10804
27	Q9Y2C4	Q10480	Yes	No	PTHR13966	PTHR13966
28	Q99459	P39964	Yes	Yes	PTHR45885	PTHR45885
29	P62166	Q09711	Yes	Yes	PTHR23055	PTHR23055
30	Q9H944	Q10317	Yes	No	PTHR12465	PTHR12465
31	Q9NPF5	O14308	Yes	No	PTHR12855	PTHR12855
32	P32969	O74905	Yes	No	PTHR11655	PTHR11655
33	P32969	Q10232	Yes	Yes	PTHR11655	PTHR11655
34	Q9HCP0	P40234	Yes	No	PTHR11909	PTHR11909
35	O43292	Q9US48	Yes	Yes	PTHR13304	PTHR13304
36	Q7Z3U7	Q09853	Yes	No	PTHR10663	PTHR10663
37	P13010	Q9HGM8	Yes	No	PTHR12604	PTHR12604
38	Q86Y79	O74806	Yes	Yes	PTHR17224	PTHR17224
39	P61599	O74457	Yes	Yes	PTHR45910	PTHR45910
