	prot1	prot2	RBSH	RBH	PANTHER_prot1	PANTHER_prot2
0	P16664	O60183	Yes	No	PTHR12507	PTHR12507
1	P43321	Q9UUC6	Yes	Yes	PTHR23338	PTHR23338
2	Q08446	O59709	Yes	Yes	PTHR45862	PTHR45862
3	P53111	Q9UT59	Yes	Yes	PTHR10366	PTHR10366
4	P53177	Q9UTA5	Yes	Yes	PTHR23245	
5	P22203	O13687	Yes	Yes	PTHR45715	PTHR45715
6	Q04174	Q09837	Yes	Yes	PTHR22760	PTHR22760
7	P41821	Q10063	Yes	No	PTHR15819	PTHR15819
8	Q07830	O13663	Yes	Yes	PTHR23071	PTHR23071
9	P42944	Q10134	Yes	No	PTHR10071	
10	P53128	Q10258	Yes	Yes	PTHR45754	PTHR45754
11	P30624	Q9P7D7	Yes	Yes	PTHR43272	PTHR43272
12	Q00711	Q9UTJ7	Yes	Yes	PTHR11632	PTHR11632
13	P06779	O74999	Yes	Yes	PTHR13382	PTHR13382
14	P38086	Q09772	Yes	Yes	PTHR45629	PTHR45629
15	Q03210	Q9Y7M8	Yes	Yes	PTHR12121	PTHR12121
16	Q12232	O59729	Yes	No	PTHR12953	PTHR12953
17	Q12213	P25457	Yes	Yes	PTHR11524	PTHR11524
18	Q04170	O59806	Yes	No	PTHR43451	PTHR42791
19	P10962	Q9UTE6	Yes	No	PTHR23405	PTHR23405
20	P48015	O14110	Yes	Yes	PTHR43757	PTHR43757
21	Q03921	Q9C0Z4	Yes	No	PTHR14042	PTHR14042
22	P38790	Q9Y814	Yes	Yes	PTHR28152	PTHR28152
23	P19145	Q9P768	Yes	No	PTHR43341	PTHR43341
24	P36132	O94637	Yes	Yes	PTHR11735	PTHR11735
25	P53199	O43050	Yes	Yes	PTHR10366	PTHR10366
26	Q12199	Q9USK5	Yes	Yes	PTHR21021	PTHR21021
27	P52868	Q9P7C6	Yes	No	PTHR44313	PTHR44313
28	P36091	O74556	Yes	Yes	PTHR12145	PTHR12145
29	P32263	Q9P7Y7	Yes	Yes	PTHR11645	PTHR11645
30	P38798	O13824	Yes	Yes	PTHR12839	PTHR12839
31	P47161	O43023	Yes	No	PTHR10404	PTHR10404
32	P33418	O94258	Yes	Yes	PTHR15952	PTHR15952
33	P00925	P40370	Yes	Yes	PTHR11902	PTHR11902
34	P54787	O74396	Yes	No	PTHR23101	PTHR23101
35	Q12499	Q9P7S7	Yes	Yes	PTHR10894	PTHR10894
36	P05750	O60128	Yes	Yes	PTHR11760	PTHR11760
37	P38304	O94646	Yes	Yes	PTHR13074	PTHR13074
38	P25626	Q9UT87	Yes	Yes	PTHR15680	PTHR15680
39	P38163	Q10408	Yes	Yes	PTHR10241	PTHR10241
40	P53093	Q9P6P8	Yes	Yes	PTHR21236	PTHR21236
41	P36051	Q8WZK2	Yes	Yes	PTHR12250	PTHR12250
42	P27614	O13968	Yes	Yes	PTHR45962	PTHR45962
43	P36150	O74468	Yes	Yes	PTHR45790	PTHR45790
44	Q06683	Q1MTR1	Yes	No	PTHR47396	PTHR47962
45	P53723	O94280	Yes	No	PTHR12883	PTHR12883
46	P06844	O14311	Yes	Yes	PTHR11380	PTHR11380
47	P25087	O14321	Yes	Yes	PTHR44068	PTHR44068
48	P40857	O14346	Yes	Yes	PTHR11035	PTHR11035
49	Q12339	O74862	Yes	Yes	PTHR12416	PTHR12416
50	Q08754	P87317	Yes	No	PTHR31975	PTHR31975
51	P19262	O94681	Yes	Yes	PTHR43416	PTHR43416
52	P53152	O74983	Yes	Yes	PTHR24068	PTHR24068
53	Q04377	P36632	Yes	No		
54	P39112	Q1MTN7	Yes	No	PTHR23355	PTHR23355
55	P46957	P87324	Yes	Yes	PTHR10416	PTHR10416
56	Q02159	O00102	Yes	Yes	PTHR24067	PTHR24067
57	P25294	Q09912	Yes	No	PTHR24078	PTHR24078
58	P38959	Q9P7N3	Yes	Yes	PTHR12616	PTHR12616
59	P21269	Q9Y7U9	Yes	Yes	PTHR13734	PTHR13734
60	P40498	O74974	Yes	No	PTHR12933	PTHR12933
61	P16658	Q8TFH7	Yes	Yes	PTHR21227	PTHR21227
62	P25615	Q09693	Yes	No	PTHR11276	PTHR11276
63	P00890	Q10306	Yes	Yes	PTHR11739	PTHR11739
64	P40347	P41893	Yes	Yes	PTHR11717	PTHR11717
65	Q00539	O60176	Yes	No	PTHR47640	PTHR47640
66	Q08726	Q9UTL7	Yes	Yes	PTHR21231	PTHR21231
67	P11154	Q9UUE1	Yes	Yes	PTHR43778	PTHR43778
68	P26793	P39750	Yes	Yes	PTHR11081	PTHR11081
69	Q05911	O60105	Yes	Yes	PTHR43172	PTHR43172
70	P32776	O13745	Yes	No	PTHR12856	PTHR12856
71	P35194	O60055	Yes	No	PTHR17695	PTHR17695
72	P52918	O14116	Yes	Yes	PTHR11223	PTHR11223
73	P32353	O94457	Yes	Yes	PTHR11863	PTHR11863
74	Q12400	O14214	Yes	Yes	PTHR13563	PTHR13563
75	P13188	Q9Y7Y8	Yes	Yes	PTHR43097	PTHR43097
76	P43591	Q9UTC5	Yes	No	PTHR10285	PTHR10285
77	P33330	Q10349	Yes	Yes	PTHR43247	PTHR43247
78	Q01159	P40997	Yes	Yes	PTHR10367	PTHR10367
79	P28789	Q09899	Yes	Yes	PTHR11557	PTHR11557
80	P46962	O59748	Yes	Yes	PTHR10026	PTHR10026
81	P15700	O59771	Yes	Yes	PTHR23359	PTHR23359
82	Q06549	Q09190	Yes	Yes	PTHR11644	PTHR11644
83	P34077	O94418	Yes	Yes	PTHR11225	PTHR11225
84	Q03697	Q10354	Yes	Yes	PTHR11132	PTHR11132
85	P32327	Q9UUE1	Yes	Yes	PTHR43778	PTHR43778
86	P39676	Q9URY5	Yes	Yes	PTHR43396	PTHR43396
87	P36016	Q10061	Yes	Yes	PTHR45639	PTHR45639
88	P48567	O59721	Yes	Yes	PTHR13767	PTHR13767
89	Q07508	Q9USM4	Yes	Yes	PTHR12375	PTHR12375
90	Q12250	P0CU18	Yes	Yes	PTHR10855	PTHR10855
91	Q06551	O74384	Yes	No	PTHR22883	PTHR22883
92	P14908	Q9US51	Yes	Yes	PTHR11727	PTHR11727
93	Q03690	O59742	Yes	Yes	PTHR12601	PTHR12601
94	Q12252	Q09766	Yes	Yes	PTHR13018	PTHR13018
95	P53741	O94260	Yes	No	PTHR10693	PTHR10693
96	P38166	Q9P6K1	Yes	Yes	PTHR23137	PTHR23137
97	P47104	Q9Y817	Yes	No	PTHR13950	PTHR13950
98	P38862	O43069	Yes	Yes	PTHR10953	PTHR10953
99	P38791	O94337	Yes	Yes	PTHR11703	PTHR11703
100	P38992	O94298	Yes	No	PTHR11863	PTHR11863
101	P19414	O13966	Yes	Yes	PTHR43160	PTHR43160
102	P14843	Q9UT09	Yes	No	PTHR21225	PTHR21225
103	P38912	P55877	Yes	Yes	PTHR21668	PTHR21668
104	P53972	O14039	Yes	Yes	PTHR22807	PTHR22807
105	P32453	P87127	Yes	No	PTHR13126	PTHR13126
106	Q12450	O13770	Yes	No	PTHR22811	PTHR22811
107	Q05506	O74781	Yes	Yes	PTHR11956	PTHR11956
108	P39959	Q10076	Yes	No	PTHR14596	PTHR14596
109	P25339	Q92359	Yes	No	PTHR12537	PTHR12537
