prot1	prot2	RBSH	RBH	PANTHER_prot1	PANTHER_prot2
P16664	O60183	Yes	No	PTHR12507	PTHR12507
P43321	Q9UUC6	Yes	Yes	PTHR23338	PTHR23338
Q08446	O59709	Yes	Yes	PTHR45862	PTHR45862
P53111	Q9UT59	Yes	Yes	PTHR10366	PTHR10366
P53177	Q9UTA5	Yes	Yes	PTHR23245	
P22203	O13687	Yes	Yes	PTHR45715	PTHR45715
Q04174	Q09837	Yes	Yes	PTHR22760	PTHR22760
P41821	Q10063	Yes	No	PTHR15819	PTHR15819
Q07830	O13663	Yes	Yes	PTHR23071	PTHR23071
P42944	Q10134	Yes	No	PTHR10071	
P53128	Q10258	Yes	Yes	PTHR45754	PTHR45754
P30624	Q9P7D7	Yes	No	PTHR43272	PTHR43272
P06779	O74999	Yes	Yes	PTHR13382	PTHR13382
P38086	Q09772	Yes	Yes	PTHR45629	PTHR45629
Q03210	Q9Y7M8	Yes	Yes	PTHR12121	PTHR12121
Q12232	O59729	Yes	No	PTHR12953	PTHR12953
Q12213	P25457	Yes	Yes	PTHR11524	PTHR11524
Q04170	O59806	Yes	No	PTHR43451	PTHR42791
P10962	Q9UTE6	Yes	No	PTHR23405	PTHR23405
P48015	O14110	Yes	Yes	PTHR43757	PTHR43757
Q03921	Q9C0Z4	Yes	No	PTHR14042	PTHR14042
P38790	Q9Y814	Yes	Yes	PTHR28152	PTHR28152
P19145	Q9P768	Yes	No	PTHR43341	PTHR43341
P36132	O94637	Yes	Yes	PTHR11735	PTHR11735
P53199	O43050	Yes	Yes	PTHR10366	PTHR10366
Q12199	Q9USK5	Yes	Yes	PTHR21021	PTHR21021
P52868	Q9P7C6	Yes	No	PTHR44313	PTHR44313
P36091	O74556	Yes	Yes	PTHR12145	PTHR12145
P32263	Q9P7Y7	Yes	Yes	PTHR11645	PTHR11645
P38798	O13824	Yes	Yes	PTHR12839	PTHR12839
P47161	O43023	Yes	No	PTHR10404	PTHR10404
P33418	O94258	Yes	Yes	PTHR15952	PTHR15952
P00925	P40370	Yes	No	PTHR11902	PTHR11902
P54787	O74396	Yes	No	PTHR23101	PTHR23101
Q12499	Q9P7S7	Yes	Yes	PTHR10894	PTHR10894
P05750	O60128	Yes	Yes	PTHR11760	PTHR11760
P38304	O94646	Yes	Yes	PTHR13074	PTHR13074
P25626	Q9UT87	Yes	Yes	PTHR15680	PTHR15680
P38163	Q10408	Yes	Yes	PTHR10241	PTHR10241
P53093	Q9P6P8	Yes	Yes	PTHR21236	PTHR21236
P36051	Q8WZK2	Yes	Yes	PTHR12250	PTHR12250
P27614	O13968	Yes	Yes	PTHR45962	PTHR45962
P36150	O74468	Yes	Yes	PTHR45790	PTHR45790
Q06683	Q1MTR1	Yes	No	PTHR47396	PTHR47962
P53723	O94280	Yes	No	PTHR12883	PTHR12883
P06844	O14311	Yes	Yes	PTHR11380	PTHR11380
P25087	O14321	Yes	Yes	PTHR44068	PTHR44068
P40857	O14346	Yes	Yes	PTHR11035	PTHR11035
Q12339	O74862	Yes	Yes	PTHR12416	PTHR12416
Q08754	P87317	Yes	No	PTHR31975	PTHR31975
P19262	O94681	Yes	Yes	PTHR43416	PTHR43416
P53152	O74983	Yes	Yes	PTHR24068	PTHR24068
Q04377	P36632	Yes	No		
P39112	Q1MTN7	Yes	No	PTHR23355	PTHR23355
P46957	P87324	Yes	Yes	PTHR10416	PTHR10416
Q02159	O00102	Yes	Yes	PTHR24067	PTHR24067
P25294	Q09912	Yes	No	PTHR24078	PTHR24078
P38959	Q9P7N3	Yes	Yes	PTHR12616	PTHR12616
P21269	Q9Y7U9	Yes	Yes	PTHR13734	PTHR13734
