	prot1	prot2	RBSH	RBH	PANTHER_prot1	PANTHER_prot2
0	Q8IXJ6	P53686	Yes	No	PTHR47651	PTHR47651
1	Q8WZ64	P32873	Yes	No	PTHR45899	PTHR23176
2	Q13351	Q12145	Yes	No	PTHR23235	
3	Q15907	P38555	Yes	Yes	PTHR47979	PTHR47979
4	O00244	P38636	Yes	Yes	PTHR46365	PTHR46365
5	P49590	P07263	Yes	No	PTHR11476	PTHR11476
6	Q8NFP7	Q99321	Yes	No	PTHR12629	PTHR12629
7	O60925	P46988	Yes	Yes	PTHR20903	PTHR20903
8	Q96BN2	Q12060	Yes	No	PTHR21277	PTHR21277
9	Q9UBJ2	P41909	Yes	Yes	PTHR11384	PTHR11384
10	A7E2Y1	P08964	Yes	No	PTHR45615	PTHR45615
11	P17844	P24783	Yes	Yes	PTHR47958	PTHR47958
12	Q5VVQ6	P43558	Yes	No	PTHR13312	PTHR13312
13	P05186	P11491	Yes	No	PTHR11596	PTHR11596
14	P83731	P04449	Yes	No	PTHR10792	PTHR10792
15	Q9H8P0	P40526	Yes	Yes	PTHR14624	PTHR14624
16	Q92973	P38217	Yes	Yes	PTHR10527	PTHR10527
17	P30613	P52489	Yes	Yes	PTHR11817	PTHR11817
18	O75153	Q03690	Yes	Yes	PTHR12601	PTHR12601
19	Q6STE5	P25632	Yes	No	PTHR13844	PTHR13844
20	Q9BTE0	P40586	Yes	No	PTHR13256	PTHR43441
21	O75027	P40416	Yes	Yes	PTHR24221	PTHR24221
22	P00403	P00410	Yes	Yes	PTHR22888	PTHR22888
23	Q92993	Q08649	Yes	Yes	PTHR10615	PTHR10615
24	P62166	Q06389	Yes	Yes	PTHR23055	PTHR23055
25	P23284	P35176	Yes	Yes	PTHR11071	PTHR11071
26	O15213	P40055	Yes	Yes	PTHR14085	PTHR14085
27	Q9Y263	P36037	Yes	Yes	PTHR19849	PTHR19849
28	Q96E52	P36163	Yes	No	PTHR22726	PTHR22726
29	Q7Z4Q2	Q07395	Yes	No	PTHR13347	PTHR13347
30	Q8TED0	Q04305	Yes	Yes	PTHR19924	PTHR19924
31	Q92698	P32863	Yes	No	PTHR45629	PTHR45629
32	P46199	P25038	Yes	Yes	PTHR43381	PTHR43381
33	Q5TDH0	P40087	Yes	No	PTHR12917	PTHR12917
34	Q92600	P53829	Yes	No	PTHR12262	PTHR12262
35	Q86V88	P40081	Yes	Yes	PTHR17901	PTHR17901
36	Q9NYY3	P32562	Yes	Yes	PTHR24345	PTHR24345
37	Q9BTM9	P40554	Yes	Yes	PTHR14986	PTHR14986
38	P48730	P29295	Yes	No	PTHR11909	PTHR11909
39	O15527	P53397	Yes	Yes	PTHR10242	PTHR10242
