	prot1	prot2	RBSH	RBH	PANTHER_prot1	PANTHER_prot2
0	Q96SZ6	Q9VGZ1	Yes	Yes	PTHR43020	PTHR43020
1	P99999	P84029	Yes	Yes	PTHR11961	PTHR11961
2	Q02750	Q24324	Yes	Yes	PTHR48013	PTHR48013
3	Q8NFG4	Q9VS33	Yes	Yes	PTHR31441	PTHR31441
4	Q9H7X0	Q95SX8	Yes	Yes	PTHR14744	PTHR14744
5	Q8IXH7	Q24134	Yes	Yes	PTHR12144	PTHR12144
6	Q9C0E8	Q7K2N0	Yes	No	PTHR22166	PTHR22166
7	P78381	O76865	Yes	Yes	PTHR10231	PTHR10231
8	O95568	Q9VQK8	Yes	No	PTHR14614	PTHR14614
9	P61599	M9PI14	Yes	Yes	PTHR45910	PTHR45910
10	Q9Y2M5	Q9VUU5	Yes	Yes	PTHR24412	PTHR24412
11	Q8N3I7	Q9I7P3	Yes	Yes	PTHR21351	PTHR21351
12	Q8NFJ9	Q9VS19	Yes	Yes	PTHR20870	PTHR20870
13	P36537	Q9VGT0	Yes	No	PTHR48043	PTHR48043
14	Q14566	Q9V461	Yes	Yes	PTHR11630	PTHR11630
15	Q9Y3C6	Q9W0Q2	Yes	Yes	PTHR45625	PTHR45625
16	Q13454	Q8SY53	Yes	No	PTHR12692	PTHR12692
17	Q9UHA4	Q9VJD2	Yes	Yes	PTHR13378	PTHR13378
18	Q5VYK3	Q9V677	Yes	Yes	PTHR23346	PTHR23346
19	P30040	O44342	Yes	Yes	PTHR12211	PTHR12211
20	P63208	O77430	Yes	Yes	PTHR11165	PTHR11165
21	Q9P0P8	Q9VAX9	Yes	No	PTHR13633	PTHR13633
22	O95486	A1Z813	Yes	No	PTHR13803	PTHR13803
23	P30536	Q9VPR1	Yes	Yes	PTHR10057	PTHR10057
24	P40855	Q8IP97	Yes	Yes	PTHR12774	PTHR12774
25	O60841	Q9VZP5	Yes	No	PTHR43381	PTHR43381
26	O95847	Q9VX14	Yes	Yes	PTHR45618	PTHR45618
27	P51798	Q7JZ25	Yes	Yes	PTHR11689	PTHR11689
28	Q68E01	Q7PLS8	Yes	Yes	PTHR13587	PTHR13587
29	Q8TCT6	Q86P97	Yes	Yes	PTHR12174	PTHR12174
30	Q15648	Q9VP05	Yes	No	PTHR12881	PTHR12881
31	O75717	Q494K2	Yes	No	PTHR19932	PTHR19932
32	Q96GW9	Q9VFL5	Yes	Yes	PTHR43326	PTHR43326
33	P36405	Q9VD64	Yes	Yes	PTHR45697	PTHR45697
34	Q9Y2E8	Q9VPJ1	Yes	Yes	PTHR10110	PTHR10110
35	Q9BRA2	Q9VMQ9	Yes	Yes	PTHR12452	PTHR12452
36	Q70EL1	Q1W9P9	Yes	No	PTHR22975	PTHR22975
37	Q08945	Q05344	Yes	Yes	PTHR45849	PTHR45849
38	Q92625	Q9VCM6	Yes	No	PTHR24174	PTHR24174
39	Q9NQ55	Q9VDE5	Yes	No	PTHR12661	PTHR12661
40	Q9UK17	P17971	Yes	Yes	PTHR11537	PTHR11537
41	P17812	Q9VUL1	Yes	Yes	PTHR11550	PTHR11550
42	Q86TP1	O18399	Yes	Yes	PTHR12112	PTHR12112
43	Q9H7L9	Q9VWG2	Yes	Yes	PTHR21964	PTHR21964
44	Q9BZE9	Q6NL44	Yes	No	PTHR46467	PTHR46467
45	Q99447	Q9VK25	Yes	Yes	PTHR45780	PTHR45780
46	Q9Y666	A0A0B4LGD3	Yes	Yes	PTHR11827	PTHR11827
47	Q9Y3A4	Q9VMJ1	Yes	Yes	PTHR13191	PTHR13191
48	Q08211	P24785	Yes	Yes	PTHR18934	PTHR18934
49	P32929	Q7JXZ2	Yes	Yes	PTHR11808	PTHR11808
50	Q9UM13	Q9V831	Yes	Yes	PTHR12936	PTHR12936
51	O60239	Q9V785	Yes	No	PTHR19423	PTHR19423
52	Q07890	P26675	Yes	No	PTHR23113	PTHR23113
53	Q5VTY9	Q9VZU2	Yes	No	PTHR13285	PTHR13285
54	Q9GZN8	Q9VSK4	Yes	Yes	PTHR13287	PTHR13287
55	A0A1W2PRG0	Q7K0B6	Yes	No	PTHR43917	PTHR43917
56	P54098	Q27607	Yes	Yes	PTHR10267	PTHR10267
57	Q8N442	Q9VRH6	Yes	Yes	PTHR43512	PTHR43512
58	P55268	P11046	Yes	Yes	PTHR24035	PTHR10574
59	Q15126	Q9VIT2	Yes	Yes	PTHR13101	PTHR13101
60	Q7L1T6	A1ZBK6	Yes	Yes	PTHR46237	PTHR46237
61	O15116	Q9W2K2	Yes	Yes	PTHR15588	PTHR15588
62	O60763	Q9W3N6	Yes	Yes	PTHR10013	PTHR10013
63	P51788	Q9VGH7	Yes	No	PTHR45720	PTHR45720
64	Q96DP5	Q9V9Z0	Yes	Yes	PTHR11138	PTHR11138
65	Q9BWM7	Q9VN13	Yes	No	PTHR11153	PTHR11153
66	Q7L576	Q9VF87	Yes	Yes	PTHR12195	PTHR12195
67	Q14693	Q8SXP0	Yes	No	PTHR12181	PTHR12181
68	Q7L592	Q9VGR2	Yes	Yes	PTHR12049	PTHR12049
69	Q2KHT3	Q9VEV4	Yes	Yes	PTHR21481	PTHR21481
70	P49916	Q9VG84	Yes	No	PTHR45674	PTHR45674
71	Q6P1A2	Q9VVX5	Yes	Yes	PTHR13906	PTHR13906
72	Q8N4B1	Q9VMI6	Yes	No	PTHR22902	PTHR22902
73	Q92508	M9MSG8	Yes	Yes	PTHR13167	PTHR13167
74	Q92508	A0A126GUQ2	Yes	No	PTHR13167	PTHR13167
75	Q9H9T3	Q9VQZ6	Yes	Yes	PTHR11135	PTHR11135
76	O95718	Q8WS79	Yes	Yes	PTHR48092	PTHR48092
77	Q9Y6K0	A0A0B4K7Y4	Yes	Yes	PTHR10414	PTHR10414
78	Q9NR97	P08953	Yes	No	PTHR47410	PTHR24365
79	O14926	Q24524	Yes	No	PTHR10551	PTHR10551
80	Q9HCE5	Q9VLP7	Yes	Yes	PTHR13107	PTHR13107
81	Q9NWS8	Q9VXQ8	Yes	No	PTHR16255	PTHR16255
82	Q6DHV7	Q9VHH7	Yes	Yes	PTHR11409	PTHR11409
83	Q9GZU7	M9PFN0	Yes	No	PTHR12210	PTHR12210
84	Q08345	Q59DZ7	Yes	No	PTHR24416	PTHR24416
85	Q9NS00	Q7K237	Yes	Yes	PTHR23033	PTHR23033
86	Q6P3W7	Q9VAR0	Yes	No	PTHR12984	PTHR12984
87	O60826	Q9VVB4	Yes	No	PTHR15668	PTHR15668
88	Q9Y512	Q9V784	Yes	Yes	PTHR12815	PTHR12815
89	Q86TM6	Q95SP2	Yes	Yes	PTHR22763	PTHR22763
90	Q96E22	Q9VPX8	Yes	No	PTHR21528	PTHR21528
91	O75936	Q9VY24	Yes	Yes	PTHR10696	PTHR10696
92	Q9NW08	P25167	Yes	Yes	PTHR20856	PTHR20856
93	Q9NW08	P08266	Yes	Yes	PTHR20856	PTHR20856
94	O95239	Q9XZ29	Yes	Yes	PTHR47969	PTHR47969
95	Q9UI10	Q9W1Q8	Yes	No	PTHR10233	PTHR10233
96	P07686	Q9W3C4	Yes	Yes	PTHR22600	PTHR22600
97	Q12756	A1ZAJ2	Yes	Yes	PTHR24115	PTHR24115
98	Q8IXS8	Q7K1C5	Yes	No	PTHR31220	PTHR31220
99	O60551	O61613	Yes	Yes	PTHR11377	PTHR11377
100	Q2M3R5	Q9VGN6	Yes	Yes	PTHR22911	PTHR22911
101	H3BQJ8	Q7K2X4	Yes	No	PTHR32217	
102	P62081	Q9VA91	Yes	Yes	PTHR11278	PTHR11278
103	Q08J23	Q9W4M9	Yes	Yes	PTHR22808	PTHR22808
